name,international
12 PLUS,f
2nd Story Associates,f
34 Military Hospital,f
3 Generations,t
3S Rivers Protection Network,f
4Life Research,t
4SROGBOE INC.,t
835 Clinic,f
AAINA,f
Aarohi,f
Aaron E Henry Community Health Services Center,f
Aashwasan Foundation,f
Aasraa Trust,f
Abalimi Bezekhaya - Planters of the Home,f
A Ban Against Neglect (ABAN),t
Aba Sistem Restavek Network,f
ABCO of Georgia,t
Abo El Reesh Mounira Hospital,f
AboutFace,t
A Bridge for Children International,t
A Brighter Tomorrow for Africa,t
Abt Associates,t
Academy Camp,f
Academy of Agricultural Sciences (AAS),f
ACAWAS,f
Access Development (ADS),f
Access Family Care,f
Access Medical & Dialysis Center,f
Access to Basic medical Care (ABC medical) Foundation,f
Accion Medica Cristiana (AMC),f
Accountability Lab,t
Accra Psychiatric Hospital,f
Accreditation Council for Pharmacy Education,t
A Child For All,t
Achon Uganda Children's Fund,t
"A Community Clinic, Inc.",f
Acres of Mercy,f
ACROSS,f
ACS Community LIFT,f
Act4Africa,t
ACT Alliance,t
ACTION10,t
Action Africa,t
Action Africa Help International,t
Action and Development (AcDev),f
Action and Solidarity Against Poverty,f
Action Chretienne pou la Croissance Economique et Socio-Spirituelle (ACESS),f
Action Contre La Misere (ACLAM),f
Action De Lutte Contre La Pauvrete,f
Action for Children,f
Action For Development (AFD),f
Action for Food Production (AFPRO),t
Action for Social Advancement (ASA),f
Action for Women and Awakening in Rural Environment,f
Action in Research in Community Health (ARCH),f
Action Jeauness Internationales Solidaire Sud,f
Action Jeunesse et Environnement (AJE),f
Action Network for the Disabled,f
Action Pour la Promotion et la Defense des Droits des Personnes Defavorisees,f
Actions des Femmes pour les Droits et le Developpement,f
Action Socio-Sanitaire Organisation Secours,t
Actions pour les Droits,f
Action Sud de Ziguinchor,f
Action to the Community Development Center (Vietnam),f
Action Two Africa,f
Action Works Nepal,f
ACTIV Association,f
Adalah - The Legal Center for Arab Minority Rights in Israel,f
Adama Martha Memorial Community Health Center,f
Adama Specialized Referral Hospital,f
Adams County Health Center,f
Adasena Health Center,f
Adeco Acciones para el Desarrollo Comunitario A.C.,f
Adharshila Shiksha Samiti,f
Adigrat Diocesan Catholic Secretariat,f
Adivasi Chetna,f
Administracion de la Beneficencia Publica del Estado de Baja California Sur,f
Administracion de la Beneficencia Publica del Estado de Sinaloa,f
Adorella Alimentos Ltd.,f
ADPP Angola,f
ADPP Mozambique,f
ADR - Association for the Development of Rural Capacities,f
Advance Guatemala,t
Advancement of Girls' Education (AGE Africa),t
Advantage Health Centers,f
Adventist Health International,t
Adventures in Preservation (AiP),t
Advita Fund USA,t
AdvocAid,f
Advocates for World Health,t
AEP - Association d'Entraide Professionnelle,f
AeroMedicos Cadeje Clinica de Cadeje,f
Afar Region Education Bureau,f
affus Women Welfare Association (AWWA),f
Afghan Carpet Exporters Guild,f
Afghan Chemical Association,f
Afghan Development Association (ADA),f
Afghan Institute of Learning,t
Afghanistan Finance Company,f
afghans4tomorrow,t
Aflatoun,t
Africa 2000 Network (A2NL),f
"Africa Christian Medical Mission, Inc.",t
Africa Development Promise,t
Africa Harvest,t
"AfricAid, Inc.",t
"Africa International University (AIU) Foundation, Inc.",t
African Centre for Treatment and Rehabilitation of Torture Victims,f
African Christians Organization Network,f
African community health intiative,t
Afri-Can Foundation,t
African Inland Church,f
African Muslim Enterprise,f
African Network for Prevention and Protection of Children Against Maltreatment and Neglect (ANPPCAN),f
African Population and Health Research Center (APHRC),f
African Promise,t
African Rainforest Conservancy (ARC),t
African Rescue Committee (AFREC),f
African Revival Ministries (ARM),t
African Solutions to African Problems,f
African Steps,t
African Union - Inter African Bureau for Animal Resources (AU-IBAR),f
African Vision,f
Africa School Assistance Project,t
Africa Schoolhouse,t
Africa Society for Blood Transfusion,f
Africa SOMA Inc.,t
Africa University,f
Afrika Tikkun,f
Afrique Enjeux,f
Afshar Hospital,f
Afya Foundation,t
Agahozo-Shalom Youth Village,t
AGAPE ASSOCIATION,f
Agape Clinic,f
"Agape International, Inc.",t
AGARU - SACCO (Saving and Credit Organization),f
Agastya International Foundation,f
Agate Center for Women with Special Needs (Armenia),f
Age Action Ireland,f
Aged and Children Pastoralists Association (ACPA),f
Agence Evangelique de Development du Mali (AEDM),f
Agence Nationale d'Appui au Developpement Rural (Cote d'Ivoire),f
Agencia Anglicana para el Desarrollo de Honduras,f
AGGIE BABIES HOME,f
A Global Friendship,t
Agribusiness Association of Tajikistan,f
Agribusiness Systems International (ASI),t
Agricultural Business Initiative (aBi) Trust,f
Agricultural Extension Centre of Kien Giang province,f
Agricultural Research Institute and Zootechnical (IRAZ),f
Agricultural Technology & Agribusiness Advisory Services (ATAAS),f
Agriculture and Rural Development Society (ECARDS),f
Agriculture Development Agency of the Central African Republic (ACDA),f
Agrihub Benin,f
AgroInvest Bank,f
AgroPresse,f
