project_id,partner_id
164,14
165,14
17871,235
4334,238
7883,238
4546,239
461,241
158,243
7622,251
8192,256
4598,261
4060,291
14210,295
4300,298
2958,326
10544,336
15271,346
4065,360
882,374
884,374
885,374
886,374
887,374
889,374
890,374
891,374
892,374
897,374
4242,375
7561,387
10868,408
11177,408
16060,408
172,430
172,431
157,446
160,446
8996,479
9072,479
1811,504
2517,506
4238,596
13014,603
4974,613
2569,721
2866,749
2870,749
2871,749
28,762
3899,767
3141,777
10253,779
10254,779
7557,784
11216,813
555,846
18733,875
31,896
31,900
14482,923
30,925
13085,967
13179,1003
18859,1025
13179,1029
15247,1040
13136,1088
10468,1142
9205,1225
9208,1264
9467,1289
9071,1301
9400,1337
9142,1362
608,1368
14158,1386
4183,1477
2219,1491
13104,1497
7561,1520
13090,1540
657,1590
98,1638
2904,1683
13179,1737
1938,1810
15052,1817
15053,1817
11660,1818
8965,1819
9873,1820
10504,1820
10912,1820
15054,1820
15055,1820
8613,1821
14386,1821
14188,1822
15058,1823
11679,1824
9779,1825
9815,1826
9816,1826
17937,1827
9693,1828
9817,1829
10983,1830
10178,1831
3536,1832
14013,1833
11502,1834
17297,1834
15063,1835
10222,1836
10932,1837
9851,1839
17380,1840
12622,1841
2070,1842
17938,1843
19206,1844
15065,1845
2858,1846
15067,1847
19169,1848
5766,1849
5767,1849
5768,1849
5769,1849
5770,1849
5771,1849
5772,1849
5773,1849
5774,1849
5775,1849
5776,1849
5777,1849
5778,1849
5779,1849
5780,1849
5781,1849
5782,1849
5783,1849
5784,1849
5785,1849
12967,1849
12968,1849
12969,1849
12970,1849
18739,1849
18774,1849
18775,1849
18776,1849
10024,1850
10026,1850
11104,1851
11712,1852
9916,1853
9918,1853
1256,1854
11586,1855
11087,1856
10000,1858
4541,1860
4546,1861
3672,1862
3958,1862
4057,1863
771,1864
11747,1865
15068,1866
7790,1867
1580,1868
2846,1869
4002,1869
4440,1870
8650,1870
17075,1871
695,1872
8224,1873
9930,1874
8543,1875
14335,1876
5734,1877
14359,1878
987,1879
18733,1880
15069,1881
15070,1882
